dataset,protected_attr,stage,seed,epoch,encoder_dim,train_pred_loss,train_adv_loss,acc_tr_P,auc_tr_P,pr_auc_tr_P,brier_tr_P,logloss_tr_P,tpr_gap_tr_P,fpr_gap_tr_P,avg_odds_tr_P,dp_tr_P,tn_s0.0_tr_P,fp_s0.0_tr_P,fn_s0.0_tr_P,tp_s0.0_tr_P,tn_s1.0_tr_P,fp_s1.0_tr_P,fn_s1.0_tr_P,tp_s1.0_tr_P,acc_tr_Ptilde,auc_tr_Ptilde,pr_auc_tr_Ptilde,brier_tr_Ptilde,logloss_tr_Ptilde,tpr_gap_tr_Ptilde,fpr_gap_tr_Ptilde,avg_odds_tr_Ptilde,dp_tr_Ptilde,tn_s0.0_tr_Ptilde,fp_s0.0_tr_Ptilde,fn_s0.0_tr_Ptilde,tp_s0.0_tr_Ptilde,tn_s1.0_tr_Ptilde,fp_s1.0_tr_Ptilde,fn_s1.0_tr_Ptilde,tp_s1.0_tr_Ptilde,mi_tr,I_pred_S_tr,cdp_tr,acc_te_P,auc_te_P,pr_auc_te_P,brier_te_P,logloss_te_P,tpr_gap_te_P,fpr_gap_te_P,avg_odds_te_P,dp_te_P,tn_s0.0_te_P,fp_s0.0_te_P,fn_s0.0_te_P,tp_s0.0_te_P,tn_s1.0_te_P,fp_s1.0_te_P,fn_s1.0_te_P,tp_s1.0_te_P,acc_te_Ptilde,auc_te_Ptilde,pr_auc_te_Ptilde,brier_te_Ptilde,logloss_te_Ptilde,tpr_gap_te_Ptilde,fpr_gap_te_Ptilde,avg_odds_te_Ptilde,dp_te_Ptilde,tn_s0.0_te_Ptilde,fp_s0.0_te_Ptilde,fn_s0.0_te_Ptilde,tp_s0.0_te_Ptilde,tn_s1.0_te_Ptilde,fp_s1.0_te_Ptilde,fn_s1.0_te_Ptilde,tp_s1.0_te_Ptilde,mi_te,I_pred_S_te,cdp_te,ess
adult,sex,naive,0,15,16,0.30823488302633795,0.0,0.8570322865988501,0.9162638918632696,0.7958737101543061,0.098096862378665,0.3060106927210298,0.09142324232768462,0.07248649073236882,0.09142324232768462,0.1827952701379037,10218,216,604,718,15229,1565,2787,4839,0.8570322865988501,0.9162638918632696,0.7958737101543061,0.098096862378665,0.3060106927210298,0.09142324232768462,0.07248649073236882,0.09142324232768462,0.1827952701379037,10218.0,216.0,604.0,718.0,15229.0,1565.0,2787.0,4839.0,1.9012004137039185,0.2969396769274732,0.5420612,0.8533996683250414,0.9118111594420281,0.7862623508799369,0.10115375147170029,0.3157678898342612,0.08208209866965144,0.07017262015175203,0.08208209866965144,0.1763941379509799,2526,66,156,191,3792,401,703,1210,0.8533996683250414,0.9118111594420281,0.7862623508799369,0.10115375147170029,0.3157678898342612,0.08208209866965144,0.07017262015175203,0.08208209866965144,0.1763941379509799,2526.0,66.0,156.0,191.0,3792.0,401.0,703.0,1210.0,1.545032024383545,0.2908506542297857,0.6269638,36176.0
adult,sex,naive,0,30,16,0.3017760615953257,0.0,0.8601006191950464,0.919950391268711,0.8045777357124262,0.09594740809109426,0.29964014068571715,0.0634984306018942,0.0755090795796823,0.0755090795796823,0.18549996530602175,10193,241,539,783,15138,1656,2625,5001,0.8601006191950464,0.919950391268711,0.8045777357124262,0.09594740809109426,0.29964014068571715,0.0634984306018942,0.0755090795796823,0.0755090795796823,0.18549996530602175,10193.0,241.0,539.0,783.0,15138.0,1656.0,2625.0,5001.0,1.9152907133102417,0.3010025171494381,0.5353562,0.8531785516860144,0.9114415257497995,0.7848546872071743,0.10144228469662783,0.31730616617141844,0.08859600097015563,0.07328701127393392,0.08859600097015563,0.18165890187497347,2518,74,153,194,3766,427,674,1239,0.8531785516860144,0.9114415257497995,0.7848546872071743,0.10144228469662783,0.31730616617141844,0.08859600097015563,0.07328701127393392,0.08859600097015563,0.18165890187497347,2518.0,74.0,153.0,194.0,3766.0,427.0,674.0,1239.0,1.4916448593139648,0.2941876325615632,0.6406865,36176.0
adult,sex,naive,0,50,16,0.29609339212028074,0.0,0.8645510835913313,0.9241711238050132,0.8139178342102731,0.0935332748446397,0.29265140508783066,0.04341842720559841,0.07128422121238705,0.07128422121238705,0.1815589383809867,10198,236,505,817,15217,1577,2582,5044,0.8645510835913313,0.9241711238050132,0.8139178342102731,0.0935332748446397,0.29265140508783066,0.04341842720559841,0.07128422121238705,0.07128422121238705,0.1815589383809867,10198.0,236.0,505.0,817.0,15217.0,1577.0,2582.0,5044.0,1.8811918497085571,0.29580551767026547,0.5344239,0.8530679933665009,0.9103947411325085,0.7830995580291786,0.1019253349902407,0.3192355056490274,0.0639865865434589,0.06974467660680794,0.06974467660680794,0.1746660756932616,2515,77,147,200,3776,417,688,1225,0.8530679933665009,0.9103947411325085,0.7830995580291786,0.1019253349902407,0.3192355056490274,0.0639865865434589,0.06974467660680794,0.06974467660680794,0.1746660756932616,2515.0,77.0,147.0,200.0,3776.0,417.0,688.0,1225.0,1.5127506256103516,0.2869029172707381,0.6619941,36176.0
adult,sex,naive,0,100,16,0.2814998125106516,0.0,0.869609685979655,0.9316356422879521,0.8311965753590174,0.08925881584707354,0.27842792383542636,0.061147805124042165,0.06772921926510214,0.06772921926510214,0.18070698524934659,10292,142,543,779,15428,1366,2666,4960,0.869609685979655,0.9316356422879521,0.8311965753590174,0.08925881584707354,0.27842792383542636,0.061147805124042165,0.06772921926510214,0.06772921926510214,0.18070698524934659,10292.0,142.0,543.0,779.0,15428.0,1366.0,2666.0,4960.0,1.8734848499298096,0.3013120569365342,0.58969665,0.8503040353786623,0.9060164926536283,0.7733706563136903,0.10472091523962344,0.33147419260007077,0.11590045961877704,0.07022874691210806,0.11590045961877704,0.17873917822673874,2528,64,171,176,3795,398,721,1192,0.8503040353786623,0.9060164926536283,0.7733706563136903,0.10472091523962344,0.33147419260007077,0.11590045961877704,0.07022874691210806,0.11590045961877704,0.17873917822673874,2528.0,64.0,171.0,176.0,3795.0,398.0,721.0,1192.0,1.5149303674697876,0.2929931765876055,0.7086936,36176.0
adult,sex,naive,1,15,16,0.3081647170261598,0.0,0.8580274214949137,0.9168839661162917,0.7961570831954459,0.09779353403548903,0.3055822948202449,0.06809521539463848,0.07955103645880031,0.07955103645880031,0.1897679237590772,10173,263,536,784,15033,1759,2578,5050,0.8580274214949137,0.9168839661162917,0.7961570831954459,0.09779353403548903,0.3055822948202449,0.06809521539463848,0.07955103645880031,0.07955103645880031,0.1897679237590772,10173.0,263.0,536.0,784.0,15033.0,1759.0,2578.0,5050.0,1.8505059480667114,0.29910881722846483,0.52464783,0.8533996683250414,0.912603250272269,0.7912856708441118,0.10045595449965856,0.3133240180306638,0.08630024634936628,0.08539721400269672,0.08630024634936628,0.1929211468435545,2521,69,147,202,3725,470,640,1271,0.8533996683250414,0.912603250272269,0.7912856708441118,0.10045595449965856,0.3133240180306638,0.08630024634936628,0.08539721400269672,0.08630024634936628,0.1929211468435545,2521.0,69.0,147.0,202.0,3725.0,470.0,640.0,1271.0,1.5695195198059082,0.30160090535649636,0.5419042,36176.0
adult,sex,naive,1,30,16,0.3019923639129585,0.0,0.8601559044670499,0.9204549264250381,0.8036751166206422,0.0958092356318585,0.2993875481297063,0.013611336225389792,0.0654599755564487,0.0654599755564487,0.16972354054694988,10149,287,489,831,15231,1561,2722,4906,0.8601559044670499,0.9204549264250381,0.8036751166206422,0.0958092356318585,0.2993875481297063,0.013611336225389792,0.0654599755564487,0.0654599755564487,0.16972354054694988,10149.0,287.0,489.0,831.0,15231.0,1561.0,2722.0,4906.0,1.842514157295227,0.27841638219136544,0.5278313,0.8539524599226092,0.911727717961928,0.7895689853915192,0.10079826698959256,0.314956336871213,0.0390575449928704,0.07158135489482331,0.07158135489482331,0.17305235943382904,2513,77,138,211,3770,425,681,1230,0.8539524599226092,0.911727717961928,0.7895689853915192,0.10079826698959256,0.314956336871213,0.0390575449928704,0.07158135489482331,0.07158135489482331,0.17305235943382904,2513.0,77.0,138.0,211.0,3770.0,425.0,681.0,1230.0,1.603710412979126,0.2805939854051728,0.5375806,36176.0
adult,sex,naive,1,50,16,0.2962413959100213,0.0,0.8638600176912871,0.9240424606293228,0.8118286966530743,0.0937680260328826,0.2927765391890245,0.06308337703198741,0.0730657163762846,0.0730657163762846,0.18558819111728264,10206,230,528,792,15195,1597,2570,5058,0.8638600176912871,0.9240424606293228,0.8118286966530743,0.0937680260328826,0.2927765391890245,0.06308337703198741,0.0730657163762846,0.0730657163762846,0.18558819111728264,10206.0,230.0,528.0,792.0,15195.0,1597.0,2570.0,5058.0,1.8561638593673706,0.3039017308370246,0.5199114,0.8542841348811498,0.9117870302137068,0.7916399807526115,0.1006653185110307,0.31533463357213776,0.07189713002238585,0.08038113032153557,0.08038113032153557,0.18501059929450975,2529,61,148,201,3759,436,673,1238,0.8542841348811498,0.9117870302137068,0.7916399807526115,0.1006653185110307,0.31533463357213776,0.07189713002238585,0.08038113032153557,0.08038113032153557,0.18501059929450975,2529.0,61.0,148.0,201.0,3759.0,436.0,673.0,1238.0,1.5756515264511108,0.3073900947107768,0.5875737,36176.0
adult,sex,naive,1,100,16,0.28125745519785816,0.0,0.8702731092436975,0.9318972947626358,0.8298184689762969,0.08917650263084839,0.2776383430702075,0.011086745800956699,0.06255047896468613,0.06255047896468613,0.17296808237604427,10187,249,454,866,15341,1451,2539,5089,0.8702731092436975,0.9318972947626358,0.8298184689762969,0.08917650263084839,0.2776383430702075,0.011086745800956699,0.06255047896468613,0.06255047896468613,0.17296808237604427,10187.0,249.0,454.0,866.0,15341.0,1451.0,2539.0,5089.0,1.8786426782608032,0.28481333795158886,0.65403974,0.8530679933665009,0.9084018299085046,0.7854439526495016,0.10243503973809588,0.3234568440654416,0.04399052986854868,0.06923115862329213,0.06923115862329213,0.17108707938142156,2510,80,141,208,3775,420,688,1223,0.8530679933665009,0.9084018299085046,0.7854439526495016,0.10243503973809588,0.3234568440654416,0.04399052986854868,0.06923115862329213,0.06923115862329213,0.17108707938142156,2510.0,80.0,141.0,208.0,3775.0,420.0,688.0,1223.0,1.5715242624282837,0.28486672260981716,0.5668389,36176.0
adult,sex,naive,2,15,16,0.30877328359744916,0.0,0.8561753648827952,0.91658138567247,0.7950644121978223,0.09843827677414023,0.3069733585575829,0.0399359425145801,0.07762479839191869,0.07762479839191869,0.18460704820010707,10114,309,504,829,14955,1797,2593,5075,0.8561753648827952,0.91658138567247,0.7950644121978223,0.09843827677414023,0.3069733585575829,0.0399359425145801,0.07762479839191869,0.07762479839191869,0.18460704820010707,10114.0,309.0,504.0,829.0,14955.0,1797.0,2593.0,5075.0,1.8868495225906372,0.2905384151416682,0.58784026,0.8550580431177446,0.911263756615825,0.7883429227929952,0.09995635137779185,0.3119582375547019,0.04614129189890814,0.07900556119743771,0.07900556119743771,0.18122832120793952,2521,82,129,207,3767,468,632,1239,0.8550580431177446,0.911263756615825,0.7883429227929952,0.09995635137779185,0.3119582375547019,0.04614129189890814,0.07900556119743771,0.07900556119743771,0.18122832120793952,2521.0,82.0,129.0,207.0,3767.0,468.0,632.0,1239.0,1.4944862127304077,0.2804115359627177,0.50779235,36176.0
adult,sex,naive,2,30,16,0.3033904575965774,0.0,0.8590225563909775,0.9204498529091167,0.8034957731051855,0.09649706040539253,0.3010077888873418,0.06460926655764099,0.06468643569008037,0.06468643569008037,0.1731904861030414,10205,218,584,749,15318,1434,2864,4804,0.8590225563909775,0.9204498529091167,0.8034957731051855,0.09649706040539253,0.3010077888873418,0.06460926655764099,0.06468643569008037,0.06468643569008037,0.1731904861030414,10205.0,218.0,584.0,749.0,15318.0,1434.0,2864.0,4804.0,1.9761223793029785,0.2879436487522715,0.58018845,0.857158651188502,0.9116075933245982,0.7895196372059532,0.09950800754970608,0.3121966319148929,0.06390299305184388,0.06623399301777397,0.06623399301777397,0.16892408997135444,2540,63,147,189,3852,383,699,1172,0.857158651188502,0.9116075933245982,0.7895196372059532,0.09950800754970608,0.3121966319148929,0.06390299305184388,0.06623399301777397,0.06623399301777397,0.16892408997135444,2540.0,63.0,147.0,189.0,3852.0,383.0,699.0,1172.0,1.5316433906555176,0.278394595497693,0.51085764,36176.0
